"symbol","interval","Smooth Data?","Main Length Period","Secondary Length Period","Deviation Coefficient","BB Source","BB Length","BB StdDev","BB Signal Smoothing","BB Std. threshold","From Day","From Month","From Year","To Day","To Month","To Year","Use Heikin Ashi Candles in Algo Calculations","length","pcntChange","Rating for entry","Rating for exit","TP % for Short entries","SL % for Short entries","entry_numbers","longEntry","shortEntry","risk","leverage","combinedValue_net_profit","combinedPct_net_profit","longValue_net_profit","longPct_net_profit","shortPct_net_profit","combinedValue_gross_profit","combinedPct_gross_profit","longValue_gross_profit","longPct_gross_profit","shortPct_gross_profit","combinedValue_gross_loss","combinedPct_gross_loss","longValue_gross_loss","longPct_gross_loss","shortPct_gross_loss","combinedValue_max_drawdown","combinedPct_max_drawdown","longValue_max_drawdown","longPct_max_drawdown","shortPct_max_drawdown","combinedValue_buy_and_hold_return","combinedPct_buy_and_hold_return","longValue_buy_and_hold_return","longPct_buy_and_hold_return","shortPct_buy_and_hold_return","combinedValue_sharpe_ratio","combinedPct_sharpe_ratio","longValue_sharpe_ratio","longPct_sharpe_ratio","shortPct_sharpe_ratio","combinedValue_profit_factor","combinedPct_profit_factor","longValue_profit_factor","longPct_profit_factor","shortPct_profit_factor","combinedValue_max_contracts_held","combinedPct_max_contracts_held","longValue_max_contracts_held","longPct_max_contracts_held","shortPct_max_contracts_held","combinedValue_open_pl","combinedPct_open_pl","longValue_open_pl","longPct_open_pl","shortPct_open_pl","combinedValue_commission_paid","combinedPct_commission_paid","longValue_commission_paid","longPct_commission_paid","shortPct_commission_paid","combinedValue_total_closed_trades","combinedPct_total_closed_trades","longValue_total_closed_trades","longPct_total_closed_trades","shortPct_total_closed_trades","combinedValue_total_open_trades","combinedPct_total_open_trades","longValue_total_open_trades","longPct_total_open_trades","shortPct_total_open_trades","combinedValue_number_winning_trades","combinedPct_number_winning_trades","longValue_number_winning_trades","longPct_number_winning_trades","shortPct_number_winning_trades","combinedValue_number_losing_trades","combinedPct_number_losing_trades","longValue_number_losing_trades","longPct_number_losing_trades","shortPct_number_losing_trades","combinedValue_percent_profitable","combinedPct_percent_profitable","longValue_percent_profitable","longPct_percent_profitable","shortPct_percent_profitable","combinedValue_avg_trade","combinedPct_avg_trade","longValue_avg_trade","longPct_avg_trade","shortPct_avg_trade","combinedValue_avg_winning_trade","combinedPct_avg_winning_trade","longValue_avg_winning_trade","longPct_avg_winning_trade","shortPct_avg_winning_trade","combinedValue_avg_losing_trade","combinedPct_avg_losing_trade","longValue_avg_losing_trade","longPct_avg_losing_trade","shortPct_avg_losing_trade","combinedValue_ratio_avg_win_avg_loss","combinedPct_ratio_avg_win_avg_loss","longValue_ratio_avg_win_avg_loss","longPct_ratio_avg_win_avg_loss","shortPct_ratio_avg_win_avg_loss","combinedValue_largest_winning_trade","combinedPct_largest_winning_trade","longValue_largest_winning_trade","longPct_largest_winning_trade","shortPct_largest_winning_trade","combinedValue_largest_losing_trade","combinedPct_largest_losing_trade","longValue_largest_losing_trade","longPct_largest_losing_trade","shortPct_largest_losing_trade","combinedValue_avg_num_bars_in_trades","combinedPct_avg_num_bars_in_trades","longValue_avg_num_bars_in_trades","longPct_avg_num_bars_in_trades","shortPct_avg_num_bars_in_trades","combinedValue_avg_num_bars_in_winning_trades","combinedPct_avg_num_bars_in_winning_trades","longValue_avg_num_bars_in_winning_trades","longPct_avg_num_bars_in_winning_trades","shortPct_avg_num_bars_in_winning_trades","combinedValue_avg_num_bars_in_losing_trades","combinedPct_avg_num_bars_in_losing_trades","longValue_avg_num_bars_in_losing_trades","longPct_avg_num_bars_in_losing_trades","shortPct_avg_num_bars_in_losing_trades","combinedValue_margin_calls","combinedPct_margin_calls","longValue_margin_calls","longPct_margin_calls","shortPct_margin_calls"
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.2","2.5","1","TRUE","TRUE","100","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","N/A","","","","N/A","","","","","N/A","","N/A","","","0","","0","","","0","0","","","","0","","0","","","0","","0","","","0","","0","","","0","","0","","","0","","0","","","N/A","","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","0","","","0","","0","","","0","","0","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.2","2.6","1","TRUE","TRUE","100","1","58315.06","5831.51","44386.30","4438.63","1392.88","74318.09","7431.81","55015.51","5501.55","1930.26","16003.02","1600.3","10629.21","1062.92","537.38","1808.81","18.3","","","","12480.83","1248.08","","","","0.56","","","","","4.644","","5.176","","","97","","97","","","122146.20","205.93","","","","0","","0","","","234","","117","","","1","","1","","","130","","51","","","104","","66","","","55.56","","43.59","","","249.21","24.92","379.37","37.94","11.9","571.68","57.17","1078.74","107.87","24.43","153.88","15.39","161.05","16.1","14.14","3.715","","6.698","","","8787.65","59.17","8787.65","59.17","6.03","751.12","7.73","745.43","7.73","5.11","49","","81","","","66","","143","","","28","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.2","3.5","1","TRUE","TRUE","100","1","49975.34","4997.53","38624.65","3862.47","1135.07","65104.12","6510.41","48026.18","4802.62","1707.79","15128.78","1512.88","9401.53","940.15","572.72","1797.28","20.29","","","","12480.83","1248.08","","","","0.545","","","","","4.303","","5.108","","","83","","83","","","104972.37","205.93","","","","0","","0","","","234","","117","","","1","","1","","","131","","51","","","103","","66","","","55.98","","43.59","","","213.57","21.36","330.13","33.01","9.7","496.98","49.7","941.69","94.17","21.35","146.88","14.69","142.45","14.24","15.48","3.384","","6.611","","","7552.10","59.17","7552.10","59.17","6.03","848.71","7.73","667.22","7.73","5.11","50","","81","","","66","","143","","","29","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.2","4.3","1","TRUE","TRUE","100","1","52447.89","5244.79","40487.70","4048.77","1196.02","68300.37","6830.04","50330.89","5033.09","1796.95","15852.48","1585.25","9843.19","984.32","600.93","1884.46","20.29","","","","12480.83","1248.08","","","","0.55","","","","","4.308","","5.113","","","87","","87","","","110064.10","205.93","","","","0","","0","","","234","","117","","","1","","1","","","132","","51","","","102","","66","","","56.41","","43.59","","","224.14","22.41","346.05","34.6","10.22","517.43","51.74","986.88","98.69","22.18","155.42","15.54","149.14","14.91","16.69","3.329","","6.617","","","7918.42","59.17","7918.42","59.17","6.03","889.88","7.73","705.21","7.73","5.11","50","","81","","","65","","143","","","29","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.3","2.2","1","TRUE","TRUE","100","1","57439.01","5743.9","42460.75","4246.07","1497.83","73079.44","7307.94","52668.40","5266.84","2041.1","15640.43","1564.04","10207.65","1020.76","543.28","1779.21","17.01","","","","12480.83","1248.08","","","","0.559","","","","","4.672","","5.16","","","95","","95","","","120342.16","205.93","","","","0","","0","","","234","","117","","","1","","1","","","126","","51","","","108","","66","","","53.85","","43.59","","","245.47","24.55","362.91","36.29","12.8","580.00","58","1032.71","103.27","27.21","144.82","14.48","154.66","15.47","12.94","4.005","","6.677","","","8396.11","59.17","8396.11","59.17","6.03","734.42","7.73","734.42","7.73","5.11","49","","81","","","67","","143","","","27","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.2","3.6","1","TRUE","TRUE","100","1","49067.21","4906.72","37961.14","3796.11","1110.61","63990.07","6399.01","47205.51","4720.55","1678.46","14922.86","1492.29","9244.37","924.44","567.85","1765.26","20.29","","","","12480.83","1248.08","","","","0.543","","","","","4.288","","5.106","","","82","","82","","","103102.23","205.93","","","","0","","0","","","234","","117","","","1","","1","","","131","","51","","","103","","66","","","55.98","","43.59","","","209.69","20.97","324.45","32.45","9.49","488.47","48.85","925.60","92.56","20.98","144.88","14.49","140.07","14.01","15.35","3.372","","6.608","","","7417.56","59.17","7417.56","59.17","6.03","833.59","7.73","655.34","7.73","5.11","50","","81","","","66","","143","","","29","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.3","3.4","1","TRUE","TRUE","100","1","58962.72","5896.27","43445.06","4344.51","1551.77","74741.51","7474.15","53853.31","5385.33","2088.82","15778.78","1577.88","10408.25","1040.83","537.05","1797.65","17.01","","","","12480.83","1248.08","","","","0.562","","","","","4.737","","5.174","","","98","","98","","","123479.86","205.93","","","","0","","0","","","234","","117","","","1","","1","","","127","","51","","","107","","66","","","54.27","","43.59","","","251.98","25.2","371.33","37.13","13.26","588.52","58.85","1055.95","105.59","27.48","147.47","14.75","157.70","15.77","13.1","3.991","","6.696","","","8615.03","59.17","8615.03","59.17","6.03","753.57","7.73","753.57","7.73","5.11","49","","81","","","67","","143","","","27","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.3","3.5","1","TRUE","TRUE","100","1","52353.28","5235.33","39067.09","3906.71","1328.62","67699.31","6769.93","48576.53","4857.65","1912.28","15346.03","1534.6","9509.43","950.94","583.66","1805.53","19.03","","","","12480.83","1248.08","","","","0.549","","","","","4.412","","5.108","","","87","","87","","","109869.21","205.93","","","","0","","0","","","234","","117","","","1","","1","","","130","","51","","","104","","66","","","55.56","","43.59","","","223.73","22.37","333.91","33.39","11.36","520.76","52.08","952.48","95.25","24.21","147.56","14.76","144.08","14.41","15.36","3.529","","6.611","","","7665.43","59.17","7665.43","59.17","6.03","852.61","7.73","670.51","7.73","5.11","50","","81","","","66","","143","","","29","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2.3","2.3","1","TRUE","TRUE","100","1","58962.72","5896.27","43445.06","4344.51","1551.77","74741.51","7474.15","53853.31","5385.33","2088.82","15778.78","1577.88","10408.25","1040.83","537.05","1797.65","17.01","","","","12480.83","1248.08","","","","0.562","","","","","4.737","","5.174","","","98","","98","","","123479.86","205.93","","","","0","","0","","","234","","117","","","1","","1","","","127","","51","","","107","","66","","","54.27","","43.59","","","251.98","25.2","371.33","37.13","13.26","588.52","58.85","1055.95","105.59","27.48","147.47","14.75","157.70","15.77","13.1","3.991","","6.696","","","8615.03","59.17","8615.03","59.17","6.03","753.57","7.73","753.57","7.73","5.11","49","","81","","","67","","143","","","27","","34","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2019","1","1","2021","TRUE","13","2","0.35","0.4","2","4.7","1","TRUE","TRUE","100","1","53036.51","5303.65","40748.43","4074.84","1228.81","68019.89","6801.99","50584.37","5058.44","1743.55","14983.38","1498.34","9835.94","983.59","514.74","1682.92","18.3","","","","12480.83","1248.08","","","","0.551","","","","","4.54","","5.143","","","88","","88","","","111276.17","205.93","","","","0","","0","","","234","","117","","","1","","1","","","130","","51","","","104","","66","","","55.56","","43.59","","","226.65","22.67","348.28","34.83","10.5","523.23","52.32","991.85","99.19","22.07","144.07","14.41","149.03","14.9","13.55","3.632","","6.655","","","8005.62","59.17","8005.62","59.17","6.03","699.75","7.73","699.75","7.73","5.11","49","","81","","","66","","143","","","28","","34","","","0","","0","",""
