"Symbol","Interval","Smooth Data?","Main Length Period","Secondary Length Period","Deviation Coefficient","BB Source","BB Length","BB StdDev","BB Signal Smoothing","BB Std. threshold","From Day","From Month","From Year","To Day","To Month","To Year","Use Heikin Ashi Candles in Algo Calculations","length","pcntChange","Rating for entry","Rating for exit","TP % for Short entries","SL % for Short entries","entry_numbers","longEntry","shortEntry","risk","leverage","_source","combinedValue_net_profit","combinedPct_net_profit","longValue_net_profit","longPct_net_profit","shortPct_net_profit","combinedValue_gross_profit","combinedPct_gross_profit","longValue_gross_profit","longPct_gross_profit","shortPct_gross_profit","combinedValue_gross_loss","combinedPct_gross_loss","longValue_gross_loss","longPct_gross_loss","shortPct_gross_loss","combinedValue_max_drawdown","combinedPct_max_drawdown","longValue_max_drawdown","longPct_max_drawdown","shortPct_max_drawdown","combinedValue_buy_and_hold_return","combinedPct_buy_and_hold_return","longValue_buy_and_hold_return","longPct_buy_and_hold_return","shortPct_buy_and_hold_return","combinedValue_sharpe_ratio","combinedPct_sharpe_ratio","longValue_sharpe_ratio","longPct_sharpe_ratio","shortPct_sharpe_ratio","combinedValue_profit_factor","combinedPct_profit_factor","longValue_profit_factor","longPct_profit_factor","shortPct_profit_factor","combinedValue_max_contracts_held","combinedPct_max_contracts_held","longValue_max_contracts_held","longPct_max_contracts_held","shortPct_max_contracts_held","combinedValue_open_pl","combinedPct_open_pl","longValue_open_pl","longPct_open_pl","shortPct_open_pl","combinedValue_commission_paid","combinedPct_commission_paid","longValue_commission_paid","longPct_commission_paid","shortPct_commission_paid","combinedValue_total_closed_trades","combinedPct_total_closed_trades","longValue_total_closed_trades","longPct_total_closed_trades","shortPct_total_closed_trades","combinedValue_total_open_trades","combinedPct_total_open_trades","longValue_total_open_trades","longPct_total_open_trades","shortPct_total_open_trades","combinedValue_number_winning_trades","combinedPct_number_winning_trades","longValue_number_winning_trades","longPct_number_winning_trades","shortPct_number_winning_trades","combinedValue_number_losing_trades","combinedPct_number_losing_trades","longValue_number_losing_trades","longPct_number_losing_trades","shortPct_number_losing_trades","combinedValue_percent_profitable","combinedPct_percent_profitable","longValue_percent_profitable","longPct_percent_profitable","shortPct_percent_profitable","combinedValue_avg_trade","combinedPct_avg_trade","longValue_avg_trade","longPct_avg_trade","shortPct_avg_trade","combinedValue_avg_winning_trade","combinedPct_avg_winning_trade","longValue_avg_winning_trade","longPct_avg_winning_trade","shortPct_avg_winning_trade","combinedValue_avg_losing_trade","combinedPct_avg_losing_trade","longValue_avg_losing_trade","longPct_avg_losing_trade","shortPct_avg_losing_trade","combinedValue_ratio_avg_win_avg_loss","combinedPct_ratio_avg_win_avg_loss","longValue_ratio_avg_win_avg_loss","longPct_ratio_avg_win_avg_loss","shortPct_ratio_avg_win_avg_loss","combinedValue_largest_winning_trade","combinedPct_largest_winning_trade","longValue_largest_winning_trade","longPct_largest_winning_trade","shortPct_largest_winning_trade","combinedValue_largest_losing_trade","combinedPct_largest_losing_trade","longValue_largest_losing_trade","longPct_largest_losing_trade","shortPct_largest_losing_trade","combinedValue_avg_num_bars_in_trades","combinedPct_avg_num_bars_in_trades","longValue_avg_num_bars_in_trades","longPct_avg_num_bars_in_trades","shortPct_avg_num_bars_in_trades","combinedValue_avg_num_bars_in_winning_trades","combinedPct_avg_num_bars_in_winning_trades","longValue_avg_num_bars_in_winning_trades","longPct_avg_num_bars_in_winning_trades","shortPct_avg_num_bars_in_winning_trades","combinedValue_avg_num_bars_in_losing_trades","combinedPct_avg_num_bars_in_losing_trades","longValue_avg_num_bars_in_losing_trades","longPct_avg_num_bars_in_losing_trades","shortPct_avg_num_bars_in_losing_trades","combinedValue_margin_calls","combinedPct_margin_calls","longValue_margin_calls","longPct_margin_calls","shortPct_margin_calls"
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,14,1,0.35,0.45,2,2.2,3,true,true,100,1,"14_1_0.35_0.45.yml","58430.56","5843.06","42914.10","4291.41","1551.65","89487.70","8948.77","54162.37","5416.24","3532.53","31057.14","3105.71","11248.27","1124.83","1980.89","2124.55","20.85","","","","12481.40","1248.14","","","","0.559","","","","","2.881","","4.815","","","98","","97","","","122391.86","205.94","","","","0","","0","","","391","","125","","","1","","1","","","202","","53","","","189","","72","","","51.66","","42.4","","","149.44","14.94","343.31","34.33","5.83","443.01","44.3","1021.93","102.19","23.71","164.32","16.43","156.23","15.62","16.93","2.696","","6.541","","","8312.96","59.17","8312.96","59.17","9.36","1345.98","7.73","762.68","7.73","5.11","34","","78","","","46","","140","","","21","","32","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,14,1,0.35,0.45,2,2.2,100,true,true,100,1,"14_1_0.35_0.45.yml","54482.49","5448.25","40697.88","4069.79","1378.46","92084.69","9208.47","51565.93","5156.59","4051.88","37602.20","3760.22","10868.05","1086.81","2673.41","2119.57","28.72","","","","12481.40","1248.14","","","","0.56","","","","","2.449","","4.745","","","94","","91","","","114261.05","205.94","","","","0","","0","","","476","","125","","","1","","1","","","246","","53","","","230","","72","","","51.68","","42.4","","","114.46","11.45","325.58","32.56","3.93","374.33","37.43","972.94","97.29","20.99","163.49","16.35","150.95","15.09","16.92","2.29","","6.446","","","7654.23","59.17","7654.23","59.17","9.36","1212.66","10.23","756.39","7.73","10.23","29","","78","","","39","","140","","","19","","32","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,14,1,0.35,0.45,2,2.5,3,true,true,100,1,"14_1_0.35_0.45.yml","62573.91","6257.39","45809.84","4580.98","1676.41","95553.47","9555.35","57811.27","5781.13","3774.22","32979.56","3297.96","12001.42","1200.14","2097.81","2237.83","23.77","","","","12481.40","1248.14","","","","0.564","","","","","2.897","","4.817","","","105","","104","","","130924.69","205.94","","","","0","","0","","","386","","125","","","1","","1","","","205","","53","","","181","","72","","","53.11","","42.4","","","162.11","16.21","366.48","36.65","6.42","466.11","46.61","1090.78","109.08","24.83","182.21","18.22","166.69","16.67","19.25","2.558","","6.544","","","8872.33","59.17","8872.33","59.17","9.36","1401.43","7.73","813.80","7.73","5.11","35","","78","","","45","","140","","","22","","32","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,14,1,0.35,0.45,2,2.9,3,true,true,100,1,"14_1_0.35_0.45.yml","56060.02","5606","40043.52","4004.35","1601.65","84826.32","8482.63","50678.94","5067.89","3414.74","28766.29","2876.63","10635.42","1063.54","1813.09","2054.04","24.74","","","","12481.40","1248.14","","","","0.551","","","","","2.949","","4.765","","","96","","93","","","117509.84","205.94","","","","0","","0","","","382","","125","","","1","","1","","","208","","53","","","174","","72","","","54.45","","42.4","","","146.75","14.68","320.35","32.03","6.23","407.82","40.78","956.21","95.62","22.03","165.32","16.53","147.71","14.77","17.78","2.467","","6.473","","","7690.60","59.17","7690.60","59.17","9.36","1214.77","8.64","714.59","7.73","8.64","35","","78","","","45","","140","","","24","","32","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,14,1,0.35,0.45,2,2.5,100,true,true,100,1,"14_1_0.35_0.45.yml","62649.69","6264.97","46295.84","4629.58","1635.38","104606.35","10460.63","58586.17","5858.62","4602.02","41956.66","4195.67","12290.33","1229.03","2966.63","2363.32","31.5","","","","12481.40","1248.14","","","","0.569","","","","","2.493","","4.767","","","108","","104","","","131080.74","205.94","","","","0","","0","","","465","","125","","","1","","1","","","248","","53","","","217","","72","","","53.33","","42.4","","","134.73","13.47","370.37","37.04","4.81","421.80","42.18","1105.40","110.54","23.6","193.35","19.33","170.70","17.07","20.46","2.182","","6.476","","","8739.27","59.17","8739.27","59.17","9.36","1380.41","10.23","867.97","7.73","10.23","30","","78","","","39","","140","","","20","","32","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,14,1,0.35,0.45,2,2.9,100,true,true,100,1,"14_1_0.35_0.45.yml","56060.02","5606","40043.52","4004.35","1601.65","84826.32","8482.63","50678.94","5067.89","3414.74","28766.29","2876.63","10635.42","1063.54","1813.09","2054.04","24.74","","","","12477.30","1247.73","","","","0.551","","","","","2.949","","4.765","","","96","","93","","","117456.74","205.85","","","","0","","0","","","382","","125","","","1","","1","","","208","","53","","","174","","72","","","54.45","","42.4","","","146.75","14.68","320.35","32.03","6.23","407.82","40.78","956.21","95.62","22.03","165.32","16.53","147.71","14.77","17.78","2.467","","6.473","","","7690.60","59.17","7690.60","59.17","9.36","1214.77","8.64","714.59","7.73","8.64","35","","78","","","45","","140","","","24","","32","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,14,1,0.35,0.45,2,3.5,1,true,true,100,1,"14_1_0.35_0.45.yml","16434.20","1643.42","16434.20","1643.42","0","24800.84","2480.08","24800.84","2480.08","0","8366.64","836.66","8366.64","836.66","0","1400.26","30.24","","","","12583.04","1258.3","","","","0.837","","","","","2.964","","2.964","","","28","","28","","","0","0","","","","0","","0","","","175","","175","","","0","","0","","","81","","81","","","94","","94","","","46.29","","46.29","","","93.91","9.39","93.91","9.39","N/A","306.18","30.62","306.18","30.62","N/A","89.01","8.9","89.01","8.9","N/A","3.44","","3.44","","","3000.02","30.3","3000.02","30.3","N/A","792.41","10.13","792.41","10.13","N/A","54","","54","","","83","","83","","","28","","28","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,14,1,0.35,0.45,2,3.5,2,true,true,100,1,"14_1_0.35_0.45.yml","47374.56","4737.46","35897.26","3589.73","1147.73","71154.31","7115.43","45456.79","4545.68","2569.75","23779.75","2377.97","9559.53","955.95","1422.02","2290.67","20.75","","","","12481.40","1248.14","","","","0.532","","","","","2.992","","4.755","","","79","","79","","","99622.95","205.94","","","","0","","0","","","337","","125","","","1","","1","","","184","","53","","","153","","72","","","54.6","","42.4","","","140.58","14.06","287.18","28.72","5.41","386.71","38.67","857.68","85.77","19.62","155.42","15.54","132.77","13.28","17.56","2.488","","6.46","","","6884.02","59.17","6884.02","59.17","7.68","1854.21","8.64","629.22","7.73","8.64","38","","78","","","49","","140","","","26","","32","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,14,1,0.35,0.45,2,3.8,1,true,true,100,1,"14_1_0.35_0.45.yml","44624.62","4462.46","34706.22","3470.62","991.84","59109.29","5910.93","43844.03","4384.4","1526.53","14484.67","1448.47","9137.81","913.78","534.69","1788.72","23.73","","","","12481.40","1248.14","","","","0.531","","","","","4.081","","4.798","","","74","","74","","","93959.71","205.94","","","","0","","0","","","250","","125","","","1","","1","","","134","","53","","","116","","72","","","53.6","","42.4","","","178.50","17.85","277.65","27.76","7.93","441.11","44.11","827.25","82.72","18.85","124.87","12.49","126.91","12.69","12.15","3.533","","6.518","","","6804.82","59.17","6804.82","59.17","6.03","758.34","7.73","631.96","7.73","5.11","47","","78","","","64","","140","","","28","","32","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,14,1,0.35,0.45,2,3.8,2,true,true,100,1,"14_1_0.35_0.45.yml","44624.62","4462.46","34706.22","3470.62","991.84","59109.29","5910.93","43844.03","4384.4","1526.53","14484.67","1448.47","9137.81","913.78","534.69","1788.72","23.73","","","","12481.40","1248.14","","","","0.531","","","","","4.081","","4.798","","","74","","74","","","93959.71","205.94","","","","0","","0","","","250","","125","","","1","","1","","","134","","53","","","116","","72","","","53.6","","42.4","","","178.50","17.85","277.65","27.76","7.93","441.11","44.11","827.25","82.72","18.85","124.87","12.49","126.91","12.69","12.15","3.533","","6.518","","","6804.82","59.17","6804.82","59.17","6.03","758.34","7.73","631.96","7.73","5.11","47","","78","","","64","","140","","","28","","32","","","0","","0","",""
