"Symbol","Interval","Smooth Data?","Main Length Period","Secondary Length Period","Deviation Coefficient","BB Source","BB Length","BB StdDev","BB Signal Smoothing","BB Std. threshold","From Day","From Month","From Year","To Day","To Month","To Year","Use Heikin Ashi Candles in Algo Calculations","length","pcntChange","Rating for entry","Rating for exit","TP % for Short entries","SL % for Short entries","entry_numbers","longEntry","shortEntry","risk","leverage","_source","combinedValue_net_profit","combinedPct_net_profit","longValue_net_profit","longPct_net_profit","shortPct_net_profit","combinedValue_gross_profit","combinedPct_gross_profit","longValue_gross_profit","longPct_gross_profit","shortPct_gross_profit","combinedValue_gross_loss","combinedPct_gross_loss","longValue_gross_loss","longPct_gross_loss","shortPct_gross_loss","combinedValue_max_drawdown","combinedPct_max_drawdown","longValue_max_drawdown","longPct_max_drawdown","shortPct_max_drawdown","combinedValue_buy_and_hold_return","combinedPct_buy_and_hold_return","longValue_buy_and_hold_return","longPct_buy_and_hold_return","shortPct_buy_and_hold_return","combinedValue_sharpe_ratio","combinedPct_sharpe_ratio","longValue_sharpe_ratio","longPct_sharpe_ratio","shortPct_sharpe_ratio","combinedValue_profit_factor","combinedPct_profit_factor","longValue_profit_factor","longPct_profit_factor","shortPct_profit_factor","combinedValue_max_contracts_held","combinedPct_max_contracts_held","longValue_max_contracts_held","longPct_max_contracts_held","shortPct_max_contracts_held","combinedValue_open_pl","combinedPct_open_pl","longValue_open_pl","longPct_open_pl","shortPct_open_pl","combinedValue_commission_paid","combinedPct_commission_paid","longValue_commission_paid","longPct_commission_paid","shortPct_commission_paid","combinedValue_total_closed_trades","combinedPct_total_closed_trades","longValue_total_closed_trades","longPct_total_closed_trades","shortPct_total_closed_trades","combinedValue_total_open_trades","combinedPct_total_open_trades","longValue_total_open_trades","longPct_total_open_trades","shortPct_total_open_trades","combinedValue_number_winning_trades","combinedPct_number_winning_trades","longValue_number_winning_trades","longPct_number_winning_trades","shortPct_number_winning_trades","combinedValue_number_losing_trades","combinedPct_number_losing_trades","longValue_number_losing_trades","longPct_number_losing_trades","shortPct_number_losing_trades","combinedValue_percent_profitable","combinedPct_percent_profitable","longValue_percent_profitable","longPct_percent_profitable","shortPct_percent_profitable","combinedValue_avg_trade","combinedPct_avg_trade","longValue_avg_trade","longPct_avg_trade","shortPct_avg_trade","combinedValue_avg_winning_trade","combinedPct_avg_winning_trade","longValue_avg_winning_trade","longPct_avg_winning_trade","shortPct_avg_winning_trade","combinedValue_avg_losing_trade","combinedPct_avg_losing_trade","longValue_avg_losing_trade","longPct_avg_losing_trade","shortPct_avg_losing_trade","combinedValue_ratio_avg_win_avg_loss","combinedPct_ratio_avg_win_avg_loss","longValue_ratio_avg_win_avg_loss","longPct_ratio_avg_win_avg_loss","shortPct_ratio_avg_win_avg_loss","combinedValue_largest_winning_trade","combinedPct_largest_winning_trade","longValue_largest_winning_trade","longPct_largest_winning_trade","shortPct_largest_winning_trade","combinedValue_largest_losing_trade","combinedPct_largest_losing_trade","longValue_largest_losing_trade","longPct_largest_losing_trade","shortPct_largest_losing_trade","combinedValue_avg_num_bars_in_trades","combinedPct_avg_num_bars_in_trades","longValue_avg_num_bars_in_trades","longPct_avg_num_bars_in_trades","shortPct_avg_num_bars_in_trades","combinedValue_avg_num_bars_in_winning_trades","combinedPct_avg_num_bars_in_winning_trades","longValue_avg_num_bars_in_winning_trades","longPct_avg_num_bars_in_winning_trades","shortPct_avg_num_bars_in_winning_trades","combinedValue_avg_num_bars_in_losing_trades","combinedPct_avg_num_bars_in_losing_trades","longValue_avg_num_bars_in_losing_trades","longPct_avg_num_bars_in_losing_trades","shortPct_avg_num_bars_in_losing_trades","combinedValue_margin_calls","combinedPct_margin_calls","longValue_margin_calls","longPct_margin_calls","shortPct_margin_calls"
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.2,1,true,true,100,1,"7_1_0.35_0.45.yml","47610.37","4761.04","36716.54","3671.65","1089.38","62608.26","6260.83","46848.65","4684.86","1575.96","14997.89","1499.79","10132.11","1013.21","486.58","1437.73","28.2","","","","12537.30","1253.73","","","","0.536","","","","","4.174","","4.624","","","79","","79","","","100725.24","207.21","","","","0","","0","","","256","","128","","","1","","1","","","130","","53","","","126","","75","","","50.78","","41.41","","","185.98","18.6","286.85","28.68","8.51","481.60","48.16","883.94","88.39","20.47","119.03","11.9","135.09","13.51","9.54","4.046","","6.543","","","7250.13","61.66","7250.13","61.66","6.03","626.46","10.13","626.46","10.13","5.11","46","","77","","","64","","140","","","26","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.6,1,true,true,100,1,"7_1_0.35_0.45.yml","50106.06","5010.61","38686.79","3868.68","1141.93","65995.55","6599.56","49338.26","4933.83","1665.73","15889.50","1588.95","10651.47","1065.15","523.8","1787.42","28.2","","","","12537.30","1253.73","","","","0.54","","","","","4.153","","4.632","","","83","","83","","","105896.50","207.21","","","","0","","0","","","256","","128","","","1","","1","","","133","","53","","","123","","75","","","51.95","","41.41","","","195.73","19.57","302.24","30.22","8.92","496.21","49.62","930.91","93.09","20.82","129.18","12.92","142.02","14.2","10.91","3.841","","6.555","","","7622.36","61.66","7622.36","61.66","6.03","659.24","10.13","659.24","10.13","5.11","46","","77","","","64","","140","","","27","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.6,2,true,true,100,1,"7_1_0.35_0.45.yml","53132.20","5313.22","41084.09","4108.41","1204.81","79768.23","7976.82","52543.79","5254.38","2722.44","26636.02","2663.6","11459.71","1145.97","1517.63","2077.97","27.08","","","","12537.30","1253.73","","","","0.541","","","","","2.995","","4.585","","","91","","88","","","112166.93","207.21","","","","0","","0","","","345","","128","","","1","","1","","","179","","53","","","166","","75","","","51.88","","41.41","","","154.01","15.4","320.97","32.1","5.55","445.63","44.56","991.39","99.14","21.61","160.46","16.05","152.80","15.28","16.68","2.777","","6.488","","","7886.97","61.66","7886.97","61.66","7.68","1251.70","10.13","705.70","10.13","5.11","37","","77","","","50","","140","","","23","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.4,3,true,true,100,1,"7_1_0.35_0.45.yml","56907.98","5690.8","42008.09","4200.81","1489.99","87465.78","8746.58","53656.18","5365.62","3380.96","30557.80","3055.78","11648.08","1164.81","1890.97","2081.90","34.45","","","","12537.30","1253.73","","","","0.552","","","","","2.862","","4.606","","","96","","95","","","119990.78","207.21","","","","0","","0","","","394","","128","","","1","","1","","","203","","53","","","191","","75","","","51.52","","41.41","","","144.44","14.44","328.19","32.82","5.6","430.87","43.09","1012.38","101.24","22.54","159.99","16","155.31","15.53","16.3","2.693","","6.519","","","8081.59","61.66","8081.59","61.66","9.36","1276.53","10.13","727.62","10.13","5.11","34","","77","","","46","","140","","","22","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.4,100,true,true,100,1,"7_1_0.35_0.45.yml","51281.34","5128.13","38864.64","3886.46","1241.67","87450.69","8745.07","49813.76","4981.38","3763.69","36169.34","3616.93","10949.13","1094.91","2522.02","2407.85","41.97","","","","12509.61","1250.96","","","","0.55","","","","","2.418","","4.55","","","89","","85","","","108003.19","206.58","","","","0","","0","","","470","","128","","","1","","1","","","243","","53","","","227","","75","","","51.7","","41.41","","","109.11","10.91","303.63","30.36","3.63","359.88","35.99","939.88","93.99","19.81","159.34","15.93","145.99","14.6","16.59","2.259","","6.438","","","7209.45","61.66","7209.45","61.66","9.36","1138.77","10.23","700.87","10.13","10.23","30","","77","","","39","","140","","","20","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.5,3,true,true,100,1,"7_1_0.35_0.45.yml","60599.27","6059.93","45004.94","4500.49","1559.43","93748.28","9374.83","57505.38","5750.54","3624.29","33149.01","3314.9","12500.44","1250.04","2064.86","2214.61","34.31","","","","12537.30","1253.73","","","","0.558","","","","","2.828","","4.6","","","102","","101","","","127639.47","207.21","","","","0","","0","","","392","","128","","","1","","1","","","205","","53","","","187","","75","","","52.3","","41.41","","","154.59","15.46","351.60","35.16","5.91","457.31","45.73","1085.01","108.5","23.84","177.27","17.73","166.67","16.67","18.44","2.58","","6.51","","","8596.75","61.66","8596.75","61.66","9.36","1357.90","10.13","774.01","10.13","5.11","34","","77","","","45","","140","","","22","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.1,100,true,true,100,1,"7_1_0.35_0.45.yml","56491.14","5649.11","42026.95","4202.7","1446.42","94357.55","9435.76","53759.18","5375.92","4059.84","37866.41","3786.64","11732.23","1173.22","2613.42","2099.72","38.39","","","","12505.36","1250.54","","","","0.56","","","","","2.492","","4.582","","","98","","94","","","118710.33","206.48","","","","0","","0","","","477","","128","","","1","","1","","","244","","53","","","233","","75","","","51.15","","41.41","","","118.43","11.84","328.34","32.83","4.14","386.71","38.67","1014.32","101.43","21.26","162.52","16.25","156.43","15.64","16.54","2.38","","6.484","","","7913.33","61.66","7913.33","61.66","9.36","1249.95","10.23","751.19","10.13","10.23","29","","77","","","39","","140","","","19","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.5,100,true,true,100,1,"7_1_0.35_0.45.yml","56069.80","5606.98","42149.17","4214.92","1392.06","94749.27","9474.93","53979.84","5397.98","4076.94","38679.48","3867.95","11830.68","1183.07","2684.88","2637.15","41.85","","","","12506.80","1250.68","","","","0.556","","","","","2.45","","4.563","","","97","","93","","","117858.91","206.52","","","","0","","0","","","467","","128","","","1","","1","","","245","","53","","","222","","75","","","52.46","","41.41","","","120.06","12.01","329.29","32.93","4.11","386.73","38.67","1018.49","101.85","21.23","174.23","17.42","157.74","15.77","18.26","2.22","","6.457","","","7835.84","61.66","7835.84","61.66","9.36","1237.71","10.23","763.81","10.13","10.23","30","","77","","","39","","140","","","21","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.7,3,true,true,100,1,"7_1_0.35_0.45.yml","57219.01","5721.9","42771.73","4277.17","1444.73","89326.18","8932.62","54739.50","5473.95","3458.67","32107.17","3210.72","11967.77","1196.78","2013.94","2097.84","33.68","","","","12537.30","1253.73","","","","0.551","","","","","2.782","","4.574","","","96","","95","","","120635.17","207.21","","","","0","","0","","","391","","128","","","1","","1","","","205","","53","","","186","","75","","","52.43","","41.41","","","146.34","14.63","334.15","33.42","5.49","435.74","43.57","1032.82","103.28","22.75","172.62","17.26","159.57","15.96","18.14","2.524","","6.473","","","8143.49","61.66","8143.49","61.66","9.36","1318.55","10.13","733.20","10.13","8.64","35","","77","","","45","","140","","","23","","33","","","0","","0","",""
"ETHUSDT","1h",true,24,10,2,"low",50,4,21,0.07,1,1,2019,1,1,2021,true,7,1,0.35,0.45,2,2.7,100,true,true,100,1,"7_1_0.35_0.45.yml","54060.37","5406.04","40981.48","4098.15","1307.89","92481.79","9248.18","52570.55","5257.05","3991.12","38421.42","3842.14","11589.06","1158.91","2683.24","2567.18","41.29","","","","12537.30","1253.73","","","","0.55","","","","","2.407","","4.536","","","93","","90","","","114090.21","207.21","","","","0","","0","","","464","","128","","","1","","1","","","245","","53","","","219","","75","","","52.8","","41.41","","","116.51","11.65","320.17","32.02","3.89","377.48","37.75","991.90","99.19","20.79","175.44","17.54","154.52","15.45","18.63","2.152","","6.419","","","7577.14","61.66","7577.14","61.66","9.36","1203.43","10.23","726.27","10.13","10.23","31","","77","","","39","","140","","","21","","33","","","0","","0","",""
