"symbol","interval","Smooth Data?","Main Length Period","Secondary Length Period","Deviation Coefficient","BB Source","BB Length","BB StdDev","BB Signal Smoothing","BB Std. threshold","From Day","From Month","From Year","To Day","To Month","To Year","Use Heikin Ashi Candles in Algo Calculations","length","pcntChange","Rating for entry","Rating for exit","TP % for Short entries","SL % for Short entries","entry_numbers","longEntry","shortEntry","risk","leverage","combinedValue_net_profit","combinedPct_net_profit","longValue_net_profit","longPct_net_profit","shortPct_net_profit","combinedValue_gross_profit","combinedPct_gross_profit","longValue_gross_profit","longPct_gross_profit","shortPct_gross_profit","combinedValue_gross_loss","combinedPct_gross_loss","longValue_gross_loss","longPct_gross_loss","shortPct_gross_loss","combinedValue_max_drawdown","combinedPct_max_drawdown","longValue_max_drawdown","longPct_max_drawdown","shortPct_max_drawdown","combinedValue_buy_and_hold_return","combinedPct_buy_and_hold_return","longValue_buy_and_hold_return","longPct_buy_and_hold_return","shortPct_buy_and_hold_return","combinedValue_sharpe_ratio","combinedPct_sharpe_ratio","longValue_sharpe_ratio","longPct_sharpe_ratio","shortPct_sharpe_ratio","combinedValue_profit_factor","combinedPct_profit_factor","longValue_profit_factor","longPct_profit_factor","shortPct_profit_factor","combinedValue_max_contracts_held","combinedPct_max_contracts_held","longValue_max_contracts_held","longPct_max_contracts_held","shortPct_max_contracts_held","combinedValue_open_pl","combinedPct_open_pl","longValue_open_pl","longPct_open_pl","shortPct_open_pl","combinedValue_commission_paid","combinedPct_commission_paid","longValue_commission_paid","longPct_commission_paid","shortPct_commission_paid","combinedValue_total_closed_trades","combinedPct_total_closed_trades","longValue_total_closed_trades","longPct_total_closed_trades","shortPct_total_closed_trades","combinedValue_total_open_trades","combinedPct_total_open_trades","longValue_total_open_trades","longPct_total_open_trades","shortPct_total_open_trades","combinedValue_number_winning_trades","combinedPct_number_winning_trades","longValue_number_winning_trades","longPct_number_winning_trades","shortPct_number_winning_trades","combinedValue_number_losing_trades","combinedPct_number_losing_trades","longValue_number_losing_trades","longPct_number_losing_trades","shortPct_number_losing_trades","combinedValue_percent_profitable","combinedPct_percent_profitable","longValue_percent_profitable","longPct_percent_profitable","shortPct_percent_profitable","combinedValue_avg_trade","combinedPct_avg_trade","longValue_avg_trade","longPct_avg_trade","shortPct_avg_trade","combinedValue_avg_winning_trade","combinedPct_avg_winning_trade","longValue_avg_winning_trade","longPct_avg_winning_trade","shortPct_avg_winning_trade","combinedValue_avg_losing_trade","combinedPct_avg_losing_trade","longValue_avg_losing_trade","longPct_avg_losing_trade","shortPct_avg_losing_trade","combinedValue_ratio_avg_win_avg_loss","combinedPct_ratio_avg_win_avg_loss","longValue_ratio_avg_win_avg_loss","longPct_ratio_avg_win_avg_loss","shortPct_ratio_avg_win_avg_loss","combinedValue_largest_winning_trade","combinedPct_largest_winning_trade","longValue_largest_winning_trade","longPct_largest_winning_trade","shortPct_largest_winning_trade","combinedValue_largest_losing_trade","combinedPct_largest_losing_trade","longValue_largest_losing_trade","longPct_largest_losing_trade","shortPct_largest_losing_trade","combinedValue_avg_num_bars_in_trades","combinedPct_avg_num_bars_in_trades","longValue_avg_num_bars_in_trades","longPct_avg_num_bars_in_trades","shortPct_avg_num_bars_in_trades","combinedValue_avg_num_bars_in_winning_trades","combinedPct_avg_num_bars_in_winning_trades","longValue_avg_num_bars_in_winning_trades","longPct_avg_num_bars_in_winning_trades","shortPct_avg_num_bars_in_winning_trades","combinedValue_avg_num_bars_in_losing_trades","combinedPct_avg_num_bars_in_losing_trades","longValue_avg_num_bars_in_losing_trades","longPct_avg_num_bars_in_losing_trades","shortPct_avg_num_bars_in_losing_trades","combinedValue_margin_calls","combinedPct_margin_calls","longValue_margin_calls","longPct_margin_calls","shortPct_margin_calls"
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2021","1","1","2022","TRUE","13","1","0.2","0.4","0","0","0","TRUE","FALSE","100","1","3569.04","356.9","3569.04","356.9","0","6241.71","624.17","6241.71","624.17","0","2672.67","267.27","2672.67","267.27","0","935.76","19.83","","","","1488.71","148.87","","","","1.168","","","","","2.335","","2.335","","","2","","2","","","0","0","","","","0","","0","","","40","","40","","","0","","0","","","21","","21","","","19","","19","","","52.5","","52.5","","","89.23","8.92","89.23","8.92","N/A","297.22","29.72","297.22","29.72","N/A","140.67","14.07","140.67","14.07","N/A","2.113","","2.113","","","1911.10","68.19","1911.10","68.19","N/A","702.52","15.61","702.52","15.61","N/A","80","","80","","","130","","130","","","25","","25","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2021","1","1","2022","TRUE","13","2","0.2","0.4","0","0","0","TRUE","FALSE","100","1","3298.94","329.89","3298.94","329.89","0","5891.00","589.1","5891.00","589.1","0","2592.06","259.21","2592.06","259.21","0","877.33","19.83","","","","1488.71","148.87","","","","1.15","","","","","2.273","","2.273","","","2","","2","","","0","0","","","","0","","0","","","40","","40","","","0","","0","","","21","","21","","","19","","19","","","52.5","","52.5","","","82.47","8.25","82.47","8.25","N/A","280.52","28.05","280.52","28.05","N/A","136.42","13.64","136.42","13.64","N/A","2.056","","2.056","","","1774.44","66.17","1774.44","66.17","N/A","658.64","15.61","658.64","15.61","N/A","79","","79","","","129","","129","","","24","","24","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2021","1","1","2022","TRUE","13","1","0.25","0.4","0","0","0","TRUE","FALSE","100","1","3569.04","356.9","3569.04","356.9","0","6241.71","624.17","6241.71","624.17","0","2672.67","267.27","2672.67","267.27","0","935.76","19.83","","","","1488.71","148.87","","","","1.168","","","","","2.335","","2.335","","","2","","2","","","0","0","","","","0","","0","","","40","","40","","","0","","0","","","21","","21","","","19","","19","","","52.5","","52.5","","","89.23","8.92","89.23","8.92","N/A","297.22","29.72","297.22","29.72","N/A","140.67","14.07","140.67","14.07","N/A","2.113","","2.113","","","1911.10","68.19","1911.10","68.19","N/A","702.52","15.61","702.52","15.61","N/A","80","","80","","","130","","130","","","25","","25","","","0","","0","",""
"ETHUSDT","1h","FALSE","24","10","2","low","50","4","21","0.07","1","1","2021","1","1","2022","FALSE","13","2","0.35","0.45","0","0","0","FALSE","FALSE","100","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","N/A","","","","N/A","","","","","N/A","","N/A","","","0","","0","","","0","0","","","","0","","0","","","0","","0","","","0","","0","","","0","","0","","","0","","0","","","N/A","","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","","N/A","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","","0","","","0","","0","","","0","","0","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2021","1","1","2022","TRUE","13","2","0.25","0.4","0","0","0","TRUE","FALSE","100","1","3298.94","329.89","3298.94","329.89","0","5891.00","589.1","5891.00","589.1","0","2592.06","259.21","2592.06","259.21","0","877.33","19.83","","","","1488.71","148.87","","","","1.15","","","","","2.273","","2.273","","","2","","2","","","0","0","","","","0","","0","","","40","","40","","","0","","0","","","21","","21","","","19","","19","","","52.5","","52.5","","","82.47","8.25","82.47","8.25","N/A","280.52","28.05","280.52","28.05","N/A","136.42","13.64","136.42","13.64","N/A","2.056","","2.056","","","1774.44","66.17","1774.44","66.17","N/A","658.64","15.61","658.64","15.61","N/A","79","","79","","","129","","129","","","24","","24","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2021","1","1","2022","TRUE","13","1","0.25","0.5","0","0","0","TRUE","FALSE","100","1","3569.04","356.9","3569.04","356.9","0","6241.71","624.17","6241.71","624.17","0","2672.67","267.27","2672.67","267.27","0","935.76","19.83","","","","1488.71","148.87","","","","1.168","","","","","2.335","","2.335","","","2","","2","","","0","0","","","","0","","0","","","40","","40","","","0","","0","","","21","","21","","","19","","19","","","52.5","","52.5","","","89.23","8.92","89.23","8.92","N/A","297.22","29.72","297.22","29.72","N/A","140.67","14.07","140.67","14.07","N/A","2.113","","2.113","","","1911.10","68.19","1911.10","68.19","N/A","702.52","15.61","702.52","15.61","N/A","80","","80","","","130","","130","","","25","","25","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2021","1","1","2022","TRUE","14","1","0.35","0.45","0","0","0","TRUE","FALSE","100","1","4845.82","484.58","4845.82","484.58","0","6322.14","632.21","6322.14","632.21","0","1476.32","147.63","1476.32","147.63","0","828.08","13.82","","","","1540.40","154.04","","","","1.033","","","","","4.282","","4.282","","","3","","3","","","0","0","","","","0","","0","","","33","","33","","","0","","0","","","17","","17","","","16","","16","","","51.52","","51.52","","","146.84","14.68","146.84","14.68","N/A","371.89","37.19","371.89","37.19","N/A","92.27","9.23","92.27","9.23","N/A","4.03","","4.03","","","2248.04","68.19","2248.04","68.19","N/A","300.33","5.13","300.33","5.13","N/A","89","","89","","","142","","142","","","31","","31","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2021","1","1","2022","TRUE","14","1","0.3","0.5","0","0","0","TRUE","FALSE","100","1","4845.82","484.58","4845.82","484.58","0","6322.14","632.21","6322.14","632.21","0","1476.32","147.63","1476.32","147.63","0","828.08","13.82","","","","1540.40","154.04","","","","1.033","","","","","4.282","","4.282","","","3","","3","","","0","0","","","","0","","0","","","33","","33","","","0","","0","","","17","","17","","","16","","16","","","51.52","","51.52","","","146.84","14.68","146.84","14.68","N/A","371.89","37.19","371.89","37.19","N/A","92.27","9.23","92.27","9.23","N/A","4.03","","4.03","","","2248.04","68.19","2248.04","68.19","N/A","300.33","5.13","300.33","5.13","N/A","89","","89","","","142","","142","","","31","","31","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2021","1","1","2022","FALSE","12","1","0.25","0.5","0","0","0","TRUE","FALSE","100","1","3174.32","317.43","3174.32","317.43","0","6399.58","639.96","6399.58","639.96","0","3225.26","322.53","3225.26","322.53","0","1167.84","24.67","","","","1488.71","148.87","","","","1.132","","","","","1.984","","1.984","","","2","","2","","","0","0","","","","0","","0","","","44","","44","","","0","","0","","","22","","22","","","22","","22","","","50","","50","","","72.14","7.21","72.14","7.21","N/A","290.89","29.09","290.89","29.09","N/A","146.60","14.66","146.60","14.66","N/A","1.984","","1.984","","","1917.10","68.19","1917.10","68.19","N/A","642.66","15.33","642.66","15.33","N/A","73","","73","","","123","","123","","","23","","23","","","0","","0","",""
"ETHUSDT","1h","TRUE","24","10","2","low","50","4","21","0.07","1","1","2021","1","1","2022","FALSE","12","1","0.25","0.4","0","0","0","TRUE","FALSE","100","1","3174.32","317.43","3174.32","317.43","0","6399.58","639.96","6399.58","639.96","0","3225.26","322.53","3225.26","322.53","0","1167.84","24.67","","","","1488.71","148.87","","","","1.132","","","","","1.984","","1.984","","","2","","2","","","0","0","","","","0","","0","","","44","","44","","","0","","0","","","22","","22","","","22","","22","","","50","","50","","","72.14","7.21","72.14","7.21","N/A","290.89","29.09","290.89","29.09","N/A","146.60","14.66","146.60","14.66","N/A","1.984","","1.984","","","1917.10","68.19","1917.10","68.19","N/A","642.66","15.33","642.66","15.33","N/A","73","","73","","","123","","123","","","23","","23","","","0","","0","",""
